sku_id,forecast_horizon_week,forecast_week,forecast_week_end,forecast_demand,selected_model,forecast_generated_from_week,future_promo_flag_assumption
SKU10000,1,2024-12-30,2025-01-05,121.46866895221292,HistGradientBoosting,2024-12-23,0
SKU10001,1,2024-12-30,2025-01-05,19.17216441508221,HistGradientBoosting,2024-12-23,0
SKU10002,1,2024-12-30,2025-01-05,135.63652320102764,HistGradientBoosting,2024-12-23,0
SKU10003,1,2024-12-30,2025-01-05,131.23360695336024,HistGradientBoosting,2024-12-23,0
SKU10004,1,2024-12-30,2025-01-05,10.947579479772505,HistGradientBoosting,2024-12-23,0
SKU10005,1,2024-12-30,2025-01-05,11.755826973856161,HistGradientBoosting,2024-12-23,0
SKU10006,1,2024-12-30,2025-01-05,56.800012736116955,HistGradientBoosting,2024-12-23,0
SKU10007,1,2024-12-30,2025-01-05,21.967191561716394,HistGradientBoosting,2024-12-23,0
SKU10008,1,2024-12-30,2025-01-05,10.353439021330598,HistGradientBoosting,2024-12-23,0
SKU10009,1,2024-12-30,2025-01-05,51.092799929390615,HistGradientBoosting,2024-12-23,0
SKU10010,1,2024-12-30,2025-01-05,19.184333859562493,HistGradientBoosting,2024-12-23,0
SKU10011,1,2024-12-30,2025-01-05,52.90706051967987,HistGradientBoosting,2024-12-23,0
SKU10012,1,2024-12-30,2025-01-05,22.676128176488675,HistGradientBoosting,2024-12-23,0
SKU10013,1,2024-12-30,2025-01-05,48.43363934524059,HistGradientBoosting,2024-12-23,0
SKU10014,1,2024-12-30,2025-01-05,38.960708993178955,HistGradientBoosting,2024-12-23,0
SKU10015,1,2024-12-30,2025-01-05,98.40860043418824,HistGradientBoosting,2024-12-23,0
SKU10016,1,2024-12-30,2025-01-05,11.90593744622925,HistGradientBoosting,2024-12-23,0
SKU10017,1,2024-12-30,2025-01-05,76.83454780663226,HistGradientBoosting,2024-12-23,0
SKU10018,1,2024-12-30,2025-01-05,28.034106923926366,HistGradientBoosting,2024-12-23,0
SKU10019,1,2024-12-30,2025-01-05,221.25365534234427,HistGradientBoosting,2024-12-23,0
SKU10020,1,2024-12-30,2025-01-05,31.934299881198722,HistGradientBoosting,2024-12-23,0
SKU10021,1,2024-12-30,2025-01-05,515.3182577921349,HistGradientBoosting,2024-12-23,0
SKU10022,1,2024-12-30,2025-01-05,47.57464982300636,HistGradientBoosting,2024-12-23,0
SKU10023,1,2024-12-30,2025-01-05,8.956388563151481,HistGradientBoosting,2024-12-23,0
SKU10024,1,2024-12-30,2025-01-05,132.0177074022345,HistGradientBoosting,2024-12-23,0
SKU10025,1,2024-12-30,2025-01-05,18.275639899292933,HistGradientBoosting,2024-12-23,0
SKU10026,1,2024-12-30,2025-01-05,17.367461230183874,HistGradientBoosting,2024-12-23,0
SKU10027,1,2024-12-30,2025-01-05,30.01969093835916,HistGradientBoosting,2024-12-23,0
SKU10028,1,2024-12-30,2025-01-05,61.746135091533304,HistGradientBoosting,2024-12-23,0
SKU10029,1,2024-12-30,2025-01-05,46.87397322807231,HistGradientBoosting,2024-12-23,0
SKU10030,1,2024-12-30,2025-01-05,16.576166814986628,HistGradientBoosting,2024-12-23,0
SKU10031,1,2024-12-30,2025-01-05,210.50894015524867,HistGradientBoosting,2024-12-23,0
SKU10032,1,2024-12-30,2025-01-05,14.375751791490776,HistGradientBoosting,2024-12-23,0
SKU10033,1,2024-12-30,2025-01-05,16.09585164133934,HistGradientBoosting,2024-12-23,0
SKU10034,1,2024-12-30,2025-01-05,21.85761133650992,HistGradientBoosting,2024-12-23,0
SKU10035,1,2024-12-30,2025-01-05,9.510862012526843,HistGradientBoosting,2024-12-23,0
SKU10036,1,2024-12-30,2025-01-05,41.30594823418364,HistGradientBoosting,2024-12-23,0
SKU10037,1,2024-12-30,2025-01-05,96.95616546331262,HistGradientBoosting,2024-12-23,0
SKU10038,1,2024-12-30,2025-01-05,42.07811587283355,HistGradientBoosting,2024-12-23,0
SKU10039,1,2024-12-30,2025-01-05,14.43250010553866,HistGradientBoosting,2024-12-23,0
SKU10040,1,2024-12-30,2025-01-05,19.858487919867997,HistGradientBoosting,2024-12-23,0
SKU10041,1,2024-12-30,2025-01-05,10.09337394590544,HistGradientBoosting,2024-12-23,0
SKU10042,1,2024-12-30,2025-01-05,174.90145088484505,HistGradientBoosting,2024-12-23,0
SKU10043,1,2024-12-30,2025-01-05,8.57340860989247,HistGradientBoosting,2024-12-23,0
SKU10044,1,2024-12-30,2025-01-05,51.56790596426617,HistGradientBoosting,2024-12-23,0
SKU10045,1,2024-12-30,2025-01-05,778.0190224246015,HistGradientBoosting,2024-12-23,0
SKU10046,1,2024-12-30,2025-01-05,50.27164688796596,HistGradientBoosting,2024-12-23,0
SKU10047,1,2024-12-30,2025-01-05,316.23341189953743,HistGradientBoosting,2024-12-23,0
SKU10048,1,2024-12-30,2025-01-05,12.819420759302401,HistGradientBoosting,2024-12-23,0
SKU10049,1,2024-12-30,2025-01-05,113.01335558180837,HistGradientBoosting,2024-12-23,0
SKU10050,1,2024-12-30,2025-01-05,36.71183727849717,HistGradientBoosting,2024-12-23,0
SKU10051,1,2024-12-30,2025-01-05,100.68712968973638,HistGradientBoosting,2024-12-23,0
SKU10052,1,2024-12-30,2025-01-05,9.906553465763016,HistGradientBoosting,2024-12-23,0
SKU10053,1,2024-12-30,2025-01-05,8.789519821274501,HistGradientBoosting,2024-12-23,0
SKU10054,1,2024-12-30,2025-01-05,16.55069015849472,HistGradientBoosting,2024-12-23,0
SKU10055,1,2024-12-30,2025-01-05,88.24871689933872,HistGradientBoosting,2024-12-23,0
SKU10056,1,2024-12-30,2025-01-05,165.9374740665976,HistGradientBoosting,2024-12-23,0
SKU10057,1,2024-12-30,2025-01-05,155.76464749838937,HistGradientBoosting,2024-12-23,0
SKU10058,1,2024-12-30,2025-01-05,11.305747878310768,HistGradientBoosting,2024-12-23,0
SKU10059,1,2024-12-30,2025-01-05,176.26539687362023,HistGradientBoosting,2024-12-23,0
SKU10060,1,2024-12-30,2025-01-05,25.24322608270817,HistGradientBoosting,2024-12-23,0
SKU10061,1,2024-12-30,2025-01-05,25.23097901066217,HistGradientBoosting,2024-12-23,0
SKU10062,1,2024-12-30,2025-01-05,7.855752212434593,HistGradientBoosting,2024-12-23,0
SKU10063,1,2024-12-30,2025-01-05,94.07175778969972,HistGradientBoosting,2024-12-23,0
SKU10064,1,2024-12-30,2025-01-05,14.821592328562854,HistGradientBoosting,2024-12-23,0
SKU10065,1,2024-12-30,2025-01-05,59.15032608396138,HistGradientBoosting,2024-12-23,0
SKU10066,1,2024-12-30,2025-01-05,169.78348854157102,HistGradientBoosting,2024-12-23,0
SKU10067,1,2024-12-30,2025-01-05,5.85973708624482,HistGradientBoosting,2024-12-23,0
SKU10068,1,2024-12-30,2025-01-05,36.48082707108751,HistGradientBoosting,2024-12-23,0
SKU10069,1,2024-12-30,2025-01-05,14.940780954020651,HistGradientBoosting,2024-12-23,0
SKU10070,1,2024-12-30,2025-01-05,17.293443671974426,HistGradientBoosting,2024-12-23,0
SKU10071,1,2024-12-30,2025-01-05,33.45624287871926,HistGradientBoosting,2024-12-23,0
SKU10072,1,2024-12-30,2025-01-05,17.66331883180185,HistGradientBoosting,2024-12-23,0
SKU10073,1,2024-12-30,2025-01-05,122.65535426774915,HistGradientBoosting,2024-12-23,0
SKU10074,1,2024-12-30,2025-01-05,46.50939903946019,HistGradientBoosting,2024-12-23,0
SKU10075,1,2024-12-30,2025-01-05,52.79010270445248,HistGradientBoosting,2024-12-23,0
SKU10076,1,2024-12-30,2025-01-05,106.9819840414881,HistGradientBoosting,2024-12-23,0
SKU10077,1,2024-12-30,2025-01-05,48.870950892187295,HistGradientBoosting,2024-12-23,0
SKU10078,1,2024-12-30,2025-01-05,55.04581403787365,HistGradientBoosting,2024-12-23,0
SKU10079,1,2024-12-30,2025-01-05,46.90428817729323,HistGradientBoosting,2024-12-23,0
SKU10080,1,2024-12-30,2025-01-05,19.85094222302255,HistGradientBoosting,2024-12-23,0
SKU10081,1,2024-12-30,2025-01-05,22.013969222154984,HistGradientBoosting,2024-12-23,0
SKU10082,1,2024-12-30,2025-01-05,179.22544541175336,HistGradientBoosting,2024-12-23,0
SKU10083,1,2024-12-30,2025-01-05,59.289735065797885,HistGradientBoosting,2024-12-23,0
SKU10084,1,2024-12-30,2025-01-05,13.800610231177462,HistGradientBoosting,2024-12-23,0
SKU10085,1,2024-12-30,2025-01-05,55.36423999878598,HistGradientBoosting,2024-12-23,0
SKU10086,1,2024-12-30,2025-01-05,15.600718478833194,HistGradientBoosting,2024-12-23,0
SKU10087,1,2024-12-30,2025-01-05,246.95608842069296,HistGradientBoosting,2024-12-23,0
SKU10088,1,2024-12-30,2025-01-05,10.720426449445245,HistGradientBoosting,2024-12-23,0
SKU10089,1,2024-12-30,2025-01-05,16.909126801954777,HistGradientBoosting,2024-12-23,0
SKU10090,1,2024-12-30,2025-01-05,17.582304955674008,HistGradientBoosting,2024-12-23,0
SKU10091,1,2024-12-30,2025-01-05,32.23809620936066,HistGradientBoosting,2024-12-23,0
SKU10092,1,2024-12-30,2025-01-05,159.94688729516722,HistGradientBoosting,2024-12-23,0
SKU10093,1,2024-12-30,2025-01-05,17.097597978409933,HistGradientBoosting,2024-12-23,0
SKU10094,1,2024-12-30,2025-01-05,140.49534930472703,HistGradientBoosting,2024-12-23,0
SKU10095,1,2024-12-30,2025-01-05,16.06275027250835,HistGradientBoosting,2024-12-23,0
SKU10096,1,2024-12-30,2025-01-05,176.00856814217855,HistGradientBoosting,2024-12-23,0
SKU10097,1,2024-12-30,2025-01-05,6.3305855357988,HistGradientBoosting,2024-12-23,0
SKU10098,1,2024-12-30,2025-01-05,9.383606987109179,HistGradientBoosting,2024-12-23,0
SKU10099,1,2024-12-30,2025-01-05,82.26489824126269,HistGradientBoosting,2024-12-23,0
SKU10100,1,2024-12-30,2025-01-05,1777.2135229031467,HistGradientBoosting,2024-12-23,0
SKU10101,1,2024-12-30,2025-01-05,203.0666306604424,HistGradientBoosting,2024-12-23,0
SKU10102,1,2024-12-30,2025-01-05,43.83030675688749,HistGradientBoosting,2024-12-23,0
SKU10103,1,2024-12-30,2025-01-05,289.03164769964496,HistGradientBoosting,2024-12-23,0
SKU10104,1,2024-12-30,2025-01-05,6.435159349283012,HistGradientBoosting,2024-12-23,0
SKU10105,1,2024-12-30,2025-01-05,506.8465917889659,HistGradientBoosting,2024-12-23,0
SKU10106,1,2024-12-30,2025-01-05,48.56308620804796,HistGradientBoosting,2024-12-23,0
SKU10107,1,2024-12-30,2025-01-05,93.77875930542947,HistGradientBoosting,2024-12-23,0
SKU10108,1,2024-12-30,2025-01-05,149.58023640306334,HistGradientBoosting,2024-12-23,0
SKU10109,1,2024-12-30,2025-01-05,104.80987917413947,HistGradientBoosting,2024-12-23,0
SKU10110,1,2024-12-30,2025-01-05,40.28723513803065,HistGradientBoosting,2024-12-23,0
SKU10111,1,2024-12-30,2025-01-05,46.9482842333323,HistGradientBoosting,2024-12-23,0
SKU10112,1,2024-12-30,2025-01-05,160.2856213136364,HistGradientBoosting,2024-12-23,0
SKU10113,1,2024-12-30,2025-01-05,12.481288794219394,HistGradientBoosting,2024-12-23,0
SKU10114,1,2024-12-30,2025-01-05,507.2016144378321,HistGradientBoosting,2024-12-23,0
SKU10115,1,2024-12-30,2025-01-05,91.15813568386997,HistGradientBoosting,2024-12-23,0
SKU10116,1,2024-12-30,2025-01-05,13.331871203430577,HistGradientBoosting,2024-12-23,0
SKU10117,1,2024-12-30,2025-01-05,155.27207191702703,HistGradientBoosting,2024-12-23,0
SKU10118,1,2024-12-30,2025-01-05,40.84931289136975,HistGradientBoosting,2024-12-23,0
SKU10119,1,2024-12-30,2025-01-05,92.79735517558254,HistGradientBoosting,2024-12-23,0
SKU10120,1,2024-12-30,2025-01-05,136.21088878542062,HistGradientBoosting,2024-12-23,0
SKU10121,1,2024-12-30,2025-01-05,11.409120570168099,HistGradientBoosting,2024-12-23,0
SKU10122,1,2024-12-30,2025-01-05,25.914784981226152,HistGradientBoosting,2024-12-23,0
SKU10123,1,2024-12-30,2025-01-05,355.58103601887916,HistGradientBoosting,2024-12-23,0
SKU10124,1,2024-12-30,2025-01-05,18.768382638057233,HistGradientBoosting,2024-12-23,0
SKU10125,1,2024-12-30,2025-01-05,53.7287006657485,HistGradientBoosting,2024-12-23,0
SKU10126,1,2024-12-30,2025-01-05,30.78979079086563,HistGradientBoosting,2024-12-23,0
SKU10127,1,2024-12-30,2025-01-05,43.03587765138245,HistGradientBoosting,2024-12-23,0
SKU10128,1,2024-12-30,2025-01-05,36.44020994811319,HistGradientBoosting,2024-12-23,0
SKU10129,1,2024-12-30,2025-01-05,50.87465334452473,HistGradientBoosting,2024-12-23,0
SKU10130,1,2024-12-30,2025-01-05,19.412591365007213,HistGradientBoosting,2024-12-23,0
SKU10131,1,2024-12-30,2025-01-05,98.76411377981668,HistGradientBoosting,2024-12-23,0
SKU10132,1,2024-12-30,2025-01-05,12.43503639383223,HistGradientBoosting,2024-12-23,0
SKU10133,1,2024-12-30,2025-01-05,13.130488487161037,HistGradientBoosting,2024-12-23,0
SKU10134,1,2024-12-30,2025-01-05,10.281221236217435,HistGradientBoosting,2024-12-23,0
SKU10135,1,2024-12-30,2025-01-05,15.73552127666355,HistGradientBoosting,2024-12-23,0
SKU10136,1,2024-12-30,2025-01-05,33.10725565260256,HistGradientBoosting,2024-12-23,0
SKU10137,1,2024-12-30,2025-01-05,65.93490308386308,HistGradientBoosting,2024-12-23,0
SKU10138,1,2024-12-30,2025-01-05,171.75974959660266,HistGradientBoosting,2024-12-23,0
SKU10139,1,2024-12-30,2025-01-05,14.146896222021649,HistGradientBoosting,2024-12-23,0
SKU10140,1,2024-12-30,2025-01-05,175.54564741292097,HistGradientBoosting,2024-12-23,0
SKU10141,1,2024-12-30,2025-01-05,117.72421637519537,HistGradientBoosting,2024-12-23,0
SKU10142,1,2024-12-30,2025-01-05,16.076462826741793,HistGradientBoosting,2024-12-23,0
SKU10143,1,2024-12-30,2025-01-05,328.1566488978185,HistGradientBoosting,2024-12-23,0
SKU10144,1,2024-12-30,2025-01-05,1110.9513692015094,HistGradientBoosting,2024-12-23,0
SKU10145,1,2024-12-30,2025-01-05,10.671734708052616,HistGradientBoosting,2024-12-23,0
SKU10146,1,2024-12-30,2025-01-05,30.624563275555218,HistGradientBoosting,2024-12-23,0
SKU10147,1,2024-12-30,2025-01-05,237.35039228606763,HistGradientBoosting,2024-12-23,0
SKU10148,1,2024-12-30,2025-01-05,104.65578763537864,HistGradientBoosting,2024-12-23,0
SKU10149,1,2024-12-30,2025-01-05,9.94280271765405,HistGradientBoosting,2024-12-23,0
SKU10000,2,2025-01-06,2025-01-12,129.68120334912152,HistGradientBoosting,2024-12-23,0
SKU10001,2,2025-01-06,2025-01-12,29.369315161264286,HistGradientBoosting,2024-12-23,0
SKU10002,2,2025-01-06,2025-01-12,163.09221070673294,HistGradientBoosting,2024-12-23,0
SKU10003,2,2025-01-06,2025-01-12,162.13678795251218,HistGradientBoosting,2024-12-23,0
SKU10004,2,2025-01-06,2025-01-12,16.483159333701312,HistGradientBoosting,2024-12-23,0
SKU10005,2,2025-01-06,2025-01-12,13.576517669028906,HistGradientBoosting,2024-12-23,0
SKU10006,2,2025-01-06,2025-01-12,52.97258677760436,HistGradientBoosting,2024-12-23,0
SKU10007,2,2025-01-06,2025-01-12,26.285271743097216,HistGradientBoosting,2024-12-23,0
SKU10008,2,2025-01-06,2025-01-12,16.928096628544306,HistGradientBoosting,2024-12-23,0
SKU10009,2,2025-01-06,2025-01-12,56.394063263116436,HistGradientBoosting,2024-12-23,0
SKU10010,2,2025-01-06,2025-01-12,32.64834514756245,HistGradientBoosting,2024-12-23,0
SKU10011,2,2025-01-06,2025-01-12,59.76800105912788,HistGradientBoosting,2024-12-23,0
SKU10012,2,2025-01-06,2025-01-12,28.587879320150297,HistGradientBoosting,2024-12-23,0
SKU10013,2,2025-01-06,2025-01-12,50.00298454030556,HistGradientBoosting,2024-12-23,0
SKU10014,2,2025-01-06,2025-01-12,33.98151624292129,HistGradientBoosting,2024-12-23,0
SKU10015,2,2025-01-06,2025-01-12,104.07407332735245,HistGradientBoosting,2024-12-23,0
SKU10016,2,2025-01-06,2025-01-12,11.207482330365236,HistGradientBoosting,2024-12-23,0
SKU10017,2,2025-01-06,2025-01-12,125.14205428642609,HistGradientBoosting,2024-12-23,0
SKU10018,2,2025-01-06,2025-01-12,37.44210260296043,HistGradientBoosting,2024-12-23,0
SKU10019,2,2025-01-06,2025-01-12,219.62834919325485,HistGradientBoosting,2024-12-23,0
SKU10020,2,2025-01-06,2025-01-12,39.02492718116559,HistGradientBoosting,2024-12-23,0
